Total Nacional;Comunidades y Ciudades Autónomas;Viajeros y tasas;Periodo;Total
Total Nacional;;Variación de la media en lo que va de año;2020M02;3,9
Total Nacional;;Variación de la media en lo que va de año;2020M01;1,9
Total Nacional;;Variación de la media en lo que va de año;2019M12;3,3
Total Nacional;;Variación de la media en lo que va de año;2019M11;3,5
Total Nacional;;Variación de la media en lo que va de año;2019M10;3,8
Total Nacional;;Variación de la media en lo que va de año;2019M09;3,6
Total Nacional;;Variación de la media en lo que va de año;2019M08;3,4
Total Nacional;;Variación de la media en lo que va de año;2019M07;3,6
Total Nacional;;Variación de la media en lo que va de año;2019M06;3,3
Total Nacional;;Variación de la media en lo que va de año;2019M05;3,8
Total Nacional;;Variación de la media en lo que va de año;2019M04;3,7
Total Nacional;;Variación de la media en lo que va de año;2019M03;5,5
Total Nacional;;Variación de la media en lo que va de año;2019M02;4
Total Nacional;;Variación de la media en lo que va de año;2019M01;2,5
Total Nacional;;Variación de la media en lo que va de año;2018M12;1,5
Total Nacional;;Variación de la media en lo que va de año;2018M11;1,2
Total Nacional;;Variación de la media en lo que va de año;2018M10;1,2
Total Nacional;;Variación de la media en lo que va de año;2018M09;0,8
Total Nacional;;Variación de la media en lo que va de año;2018M08;0,8
Total Nacional;;Variación de la media en lo que va de año;2018M07;0,8
Total Nacional;;Variación de la media en lo que va de año;2018M06;0,8
Total Nacional;;Variación de la media en lo que va de año;2018M05;0,8
Total Nacional;;Variación de la media en lo que va de año;2018M04;1
Total Nacional;;Variación de la media en lo que va de año;2018M03;-1,8
Total Nacional;;Variación de la media en lo que va de año;2018M02;2,1
Total Nacional;;Variación de la media en lo que va de año;2018M01;5,1
Total Nacional;;Variación de la media en lo que va de año;2017M12;2,1
Total Nacional;;Variación de la media en lo que va de año;2017M11;2,4
Total Nacional;;Variación de la media en lo que va de año;2017M10;2,4
Total Nacional;;Variación de la media en lo que va de año;2017M09;2,4
Total Nacional;;Variación de la media en lo que va de año;2017M08;3,1
Total Nacional;;Variación de la media en lo que va de año;2017M07;3,3
Total Nacional;;Variación de la media en lo que va de año;2017M06;3,4
Total Nacional;;Variación de la media en lo que va de año;2017M05;3,8
Total Nacional;;Variación de la media en lo que va de año;2017M04;3,5
Total Nacional;;Variación de la media en lo que va de año;2017M03;7,6
Total Nacional;;Variación de la media en lo que va de año;2017M02;3,9
Total Nacional;;Variación de la media en lo que va de año;2017M01;5,2
Total Nacional;;Variación de la media en lo que va de año;2016M12;3,5
Total Nacional;;Variación de la media en lo que va de año;2016M11;3,7
Total Nacional;;Variación de la media en lo que va de año;2016M10;3,8
Total Nacional;;Variación de la media en lo que va de año;2016M09;4,1
Total Nacional;;Variación de la media en lo que va de año;2016M08;3,6
Total Nacional;;Variación de la media en lo que va de año;2016M07;3,1
Total Nacional;;Variación de la media en lo que va de año;2016M06;3,3
Total Nacional;;Variación de la media en lo que va de año;2016M05;2,9
Total Nacional;;Variación de la media en lo que va de año;2016M04;2,6
Total Nacional;;Variación de la media en lo que va de año;2016M03;0,9
Total Nacional;;Variación de la media en lo que va de año;2016M02;2,7
Total Nacional;;Variación de la media en lo que va de año;2016M01;0,4
Total Nacional;;Variación de la media en lo que va de año;2015M12;1,2
Total Nacional;;Variación de la media en lo que va de año;2015M11;1,1
Total Nacional;;Variación de la media en lo que va de año;2015M10;0,6
Total Nacional;;Variación de la media en lo que va de año;2015M09;1,1
Total Nacional;;Variación de la media en lo que va de año;2015M08;1
Total Nacional;;Variación de la media en lo que va de año;2015M07;0,5
Total Nacional;;Variación de la media en lo que va de año;2015M06;0,4
Total Nacional;;Variación de la media en lo que va de año;2015M05;-0,3
Total Nacional;;Variación de la media en lo que va de año;2015M04;-0,5
Total Nacional;;Variación de la media en lo que va de año;2015M03;-1,2
Total Nacional;;Variación de la media en lo que va de año;2015M02;-1,9
Total Nacional;;Variación de la media en lo que va de año;2015M01;-2,6
Total Nacional;;Variación de la media en lo que va de año;2014M12;0,2
Total Nacional;;Variación de la media en lo que va de año;2014M11;0
Total Nacional;;Variación de la media en lo que va de año;2014M10;0,1
Total Nacional;;Variación de la media en lo que va de año;2014M09;0
Total Nacional;;Variación de la media en lo que va de año;2014M08;-0,2
Total Nacional;;Variación de la media en lo que va de año;2014M07;-0,1
Total Nacional;;Variación de la media en lo que va de año;2014M06;-0,2
Total Nacional;;Variación de la media en lo que va de año;2014M05;-0,1
Total Nacional;;Variación de la media en lo que va de año;2014M04;0,2
Total Nacional;;Variación de la media en lo que va de año;2014M03;2,7
Total Nacional;;Variación de la media en lo que va de año;2014M02;0
Total Nacional;;Variación de la media en lo que va de año;2014M01;-1,6
Total Nacional;;Variación de la media en lo que va de año;2013M12;-1,3
Total Nacional;;Variación de la media en lo que va de año;2013M11;-1,6
Total Nacional;;Variación de la media en lo que va de año;2013M10;-2,1
Total Nacional;;Variación de la media en lo que va de año;2013M09;-2,8
Total Nacional;;Variación de la media en lo que va de año;2013M08;-3,4
Total Nacional;;Variación de la media en lo que va de año;2013M07;-3,4
Total Nacional;;Variación de la media en lo que va de año;2013M06;-4,1
Total Nacional;;Variación de la media en lo que va de año;2013M05;-4
Total Nacional;;Variación de la media en lo que va de año;2013M04;-4,4
Total Nacional;;Variación de la media en lo que va de año;2013M03;-8,3
Total Nacional;;Variación de la media en lo que va de año;2013M02;-6,1
Total Nacional;;Variación de la media en lo que va de año;2013M01;-4,3
Total Nacional;;Variación de la media en lo que va de año;2012M12;-5,2
Total Nacional;;Variación de la media en lo que va de año;2012M11;-4,8
Total Nacional;;Variación de la media en lo que va de año;2012M10;-4,3
Total Nacional;;Variación de la media en lo que va de año;2012M09;-4,5
Total Nacional;;Variación de la media en lo que va de año;2012M08;-3,8
Total Nacional;;Variación de la media en lo que va de año;2012M07;-3,5
Total Nacional;;Variación de la media en lo que va de año;2012M06;-3,3
Total Nacional;;Variación de la media en lo que va de año;2012M05;-2,9
Total Nacional;;Variación de la media en lo que va de año;2012M04;-2,5
Total Nacional;;Variación de la media en lo que va de año;2012M03;-1,4
Total Nacional;;Variación de la media en lo que va de año;2012M02;0,6
Total Nacional;;Variación de la media en lo que va de año;2012M01;1,7
Total Nacional;01 Andalucía;Viajeros transportados;2024M09;21.682
Total Nacional;01 Andalucía;Viajeros transportados;2024M08;16.973
Total Nacional;01 Andalucía;Viajeros transportados;2024M07;18.479
Total Nacional;01 Andalucía;Viajeros transportados;2024M06;20.276
Total Nacional;01 Andalucía;Viajeros transportados;2024M05;22.982
Total Nacional;01 Andalucía;Viajeros transportados;2024M04;23.789
Total Nacional;01 Andalucía;Viajeros transportados;2024M03;20.849
Total Nacional;01 Andalucía;Viajeros transportados;2024M02;20.154
Total Nacional;01 Andalucía;Viajeros transportados;2024M01;19.803
Total Nacional;01 Andalucía;Viajeros transportados;2023M12;19.907
Total Nacional;01 Andalucía;Viajeros transportados;2023M11;21.555
Total Nacional;01 Andalucía;Viajeros transportados;2023M10;21.873
Total Nacional;01 Andalucía;Viajeros transportados;2023M09;19.698
Total Nacional;01 Andalucía;Viajeros transportados;2023M08;15.367
Total Nacional;01 Andalucía;Viajeros transportados;2023M07;16.839
Total Nacional;01 Andalucía;Viajeros transportados;2023M06;18.041
Total Nacional;01 Andalucía;Viajeros transportados;2023M05;20.686
Total Nacional;01 Andalucía;Viajeros transportados;2023M04;19.949
Total Nacional;01 Andalucía;Viajeros transportados;2023M03;20.639
Total Nacional;01 Andalucía;Viajeros transportados;2023M02;16.726
Total Nacional;01 Andalucía;Viajeros transportados;2023M01;16.530
Total Nacional;01 Andalucía;Viajeros transportados;2022M12;16.793
Total Nacional;01 Andalucía;Viajeros transportados;2022M11;18.335
Total Nacional;01 Andalucía;Viajeros transportados;2022M10;18.707
Total Nacional;01 Andalucía;Viajeros transportados;2022M09;16.894
Total Nacional;01 Andalucía;Viajeros transportados;2022M08;12.924
Total Nacional;01 Andalucía;Viajeros transportados;2022M07;13.646
Total Nacional;01 Andalucía;Viajeros transportados;2022M06;15.878
Total Nacional;01 Andalucía;Viajeros transportados;2022M05;17.551
Total Nacional;01 Andalucía;Viajeros transportados;2022M04;16.470
Total Nacional;01 Andalucía;Viajeros transportados;2022M03;16.793
Total Nacional;01 Andalucía;Viajeros transportados;2022M02;13.832
Total Nacional;01 Andalucía;Viajeros transportados;2022M01;12.820
Total Nacional;01 Andalucía;Viajeros transportados;2021M12;14.550
Total Nacional;01 Andalucía;Viajeros transportados;2021M11;16.184
Total Nacional;01 Andalucía;Viajeros transportados;2021M10;16.084
Total Nacional;01 Andalucía;Viajeros transportados;2021M09;14.301
Total Nacional;01 Andalucía;Viajeros transportados;2021M08;10.431
Total Nacional;01 Andalucía;Viajeros transportados;2021M07;11.568
Total Nacional;01 Andalucía;Viajeros transportados;2021M06;12.482
Total Nacional;01 Andalucía;Viajeros transportados;2021M05;12.015
Total Nacional;01 Andalucía;Viajeros transportados;2021M04;10.958
Total Nacional;01 Andalucía;Viajeros transportados;2021M03;11.117
